user_id,page_visited,time_spent
76,quaffle,138
74,auditor,174
76,ink,36
10,linguist,40
2,offence,148
69,xbox,243
68,doubt,229
40,doubt,101
9,doubt,228
51,quaffle,111
77,maker,135
30,jar,109
86,feedback,97
91,vegetable,80
65,linguist,211
13,linguist,75
41,snob,179
12,ink,128
72,queue,106
18,maker,192
95,defendant,196
49,jar,210
25,feedback,218
98,jar,195
47,jar,46
95,maker,96
66,bud,194
2,lining,124
90,queue,189
2,paramedic,86
17,vegetable,191
33,linguist,137
3,vegetable,141
48,paramedic,124
39,linguist,240
52,doubt,90
24,lining,74
79,vinyl,204
71,bud,146
95,maker,139
40,xbox,222
39,vinyl,235
54,xbox,89
9,vegetable,34
14,auditor,224
28,bud,65
52,queue,228
100,feedback,89
89,queue,23
35,linguist,206
81,bud,54
48,doubt,97
32,linguist,87
37,bud,87
75,quaffle,131
29,quaffle,123
86,feedback,171
91,vegetable,65
64,van,212
13,lining,228
37,feedback,104
7,feedback,229
86,snob,187
31,xbox,113
65,vinyl,61
49,bud,205
59,auditor,168
33,paramedic,205
99,jar,68
33,auditor,108
94,lining,228
94,doubt,36
86,vegetable,65
87,offence,98
13,snob,90
7,queue,141
66,defendant,34
86,linguist,96
4,queue,139
77,bud,47
19,linguist,138
27,offence,102
20,vinyl,210
96,auditor,172
45,van,207
58,linguist,31
47,offence,41
55,maker,115
94,van,194
16,vinyl,67
65,lining,127
22,xbox,165
33,paramedic,138
21,lining,82
90,snob,207
59,jar,85
64,lining,26
14,xbox,124
99,vegetable,53
45,snob,62
75,van,47
93,van,245
22,quaffle,234
31,maker,105
7,vegetable,217
66,xbox,49
70,jar,240
28,queue,22
74,doubt,224
65,xbox,232
53,snob,101
71,jar,72
54,maker,45
93,vinyl,194
63,queue,209
92,vegetable,101
53,van,163
34,auditor,47
53,van,148
69,maker,239
48,bud,156
53,paramedic,73
94,ink,126
43,jar,99
85,quality,64
42,paramedic,51
52,vinyl,244
29,quality,161
87,feedback,43
25,linguist,201
99,vinyl,67
22,quaffle,86
96,paramedic,93
11,maker,234
80,quality,21
68,ink,83
11,quaffle,194
73,vegetable,208
26,xbox,125
26,maker,88
42,defendant,25
50,jar,90
52,xbox,106
38,lining,86
8,defendant,46
81,van,22
28,vinyl,81
70,feedback,113
7,vegetable,220
27,van,34
68,bud,51
10,lining,116
94,ink,220
36,quality,37
43,vinyl,37
83,offence,176
20,jar,59
97,jar,38
60,vinyl,111
93,vinyl,88
94,xbox,61
58,snob,64
33,queue,248
29,vinyl,125
59,quality,200
81,quaffle,105
89,queue,244
6,quaffle,194
50,vinyl,196
81,vinyl,236
97,maker,132
32,van,241
86,paramedic,136
75,linguist,215
17,maker,248
59,doubt,136
52,jar,240
35,quaffle,212
8,bud,138
59,ink,79
88,quaffle,173
55,linguist,144
30,bud,161
66,vinyl,158
63,defendant,45
9,ink,136
64,queue,138
78,ink,47
81,jar,189
88,doubt,173
67,queue,216
23,vinyl,232
71,quaffle,117
78,auditor,242
70,vegetable,227
15,feedback,237
1,feedback,149
62,vinyl,23
68,quality,59
79,vinyl,152
8,linguist,182
31,queue,107
91,xbox,207
32,bud,142
12,maker,155
91,auditor,25
61,maker,110
50,doubt,199
35,linguist,32
64,ink,113
58,queue,183
6,linguist,225
59,lining,92
25,snob,160
39,auditor,171
100,doubt,237
74,auditor,119
20,ink,20
23,ink,65
88,vinyl,159
16,bud,100
92,linguist,85
67,van,224
66,quaffle,131
27,paramedic,59
77,doubt,22
67,defendant,176
92,bud,101
3,quaffle,65
27,feedback,105
15,queue,127
49,vegetable,237
22,doubt,50
58,linguist,121
85,offence,168
37,queue,245
92,ink,32
83,xbox,245
49,bud,163
29,defendant,76
35,quality,231
25,xbox,196
63,lining,43
42,jar,168
90,vinyl,210
23,van,151
100,vegetable,120
63,offence,77
41,vegetable,118
35,feedback,83
16,doubt,118
10,paramedic,215
63,ink,92
44,van,129
96,jar,31
11,doubt,223
66,auditor,175
60,bud,117
4,feedback,74
46,jar,139
44,paramedic,168
9,jar,22
5,van,170
88,queue,106
49,lining,23
27,bud,20
99,offence,86
73,vegetable,247
69,xbox,185
27,van,187
18,xbox,112
46,defendant,230
26,linguist,27
72,snob,39
68,auditor,91
76,queue,32
43,paramedic,194
5,lining,173
85,jar,174
90,van,160
56,defendant,101
17,offence,188
25,xbox,188
2,auditor,34
91,lining,120
2,doubt,190
72,quality,208
40,quality,53
4,maker,192
55,paramedic,88
39,quality,139
89,quaffle,82
14,paramedic,28
10,doubt,123
82,jar,180
31,lining,154
64,defendant,174
13,van,177
77,offence,57
79,queue,30
23,maker,110
7,linguist,139
81,xbox,207
87,defendant,68
89,linguist,60
64,vinyl,58
37,queue,194
74,paramedic,78
82,paramedic,246
7,feedback,130
94,jar,54
43,offence,38
77,jar,247
86,quality,189
60,feedback,96
90,snob,38
62,maker,247
75,van,202
82,queue,237
81,doubt,94
77,quality,112
35,xbox,132
15,quality,184
96,van,105
55,bud,167
98,offence,126
65,van,70
81,paramedic,115
25,vegetable,163
22,auditor,101
78,linguist,144
52,defendant,91
56,xbox,43
55,doubt,151
30,feedback,237
57,ink,244
84,bud,55
81,doubt,97
53,xbox,137
6,offence,66
99,queue,38
10,bud,243
86,snob,232
3,queue,21
20,lining,52
30,paramedic,136
40,bud,185
2,offence,170
62,linguist,86
31,bud,230
77,jar,48
17,paramedic,245
26,linguist,186
25,vinyl,159
33,feedback,213
96,feedback,51
59,van,91
61,quality,224
64,paramedic,187
92,queue,165
68,quaffle,47
34,ink,190
67,quality,156
37,queue,96
51,queue,59
47,linguist,64
22,jar,94
92,van,31
70,van,91
30,bud,53
14,ink,242
12,defendant,136
41,auditor,248
62,lining,89
66,maker,128
72,feedback,206
3,auditor,128
63,snob,103
55,ink,218
62,vinyl,77
27,offence,136
63,bud,169
78,maker,105
70,paramedic,242
21,snob,105
94,ink,157
100,quaffle,84
5,lining,101
66,linguist,205
48,queue,37
73,quaffle,212
68,feedback,77
57,offence,231
94,doubt,104
50,paramedic,215
63,offence,197
33,paramedic,44
39,xbox,158
90,ink,64
18,lining,117
63,queue,110
65,maker,110
27,vegetable,35
14,snob,74
48,offence,130
60,maker,153
94,auditor,61
50,ink,198
61,quaffle,160
36,quality,106
89,maker,113
74,paramedic,132
41,lining,213
70,xbox,150
39,linguist,245
25,offence,131
89,linguist,130
76,auditor,125
49,vegetable,25
73,snob,210
97,snob,141
23,xbox,197
51,linguist,221
66,maker,131
19,offence,209
6,lining,49
38,paramedic,112
41,ink,53
19,maker,50
92,bud,241
51,vegetable,174
71,ink,71
66,maker,20
91,doubt,117
11,maker,228
100,defendant,196
85,offence,133
79,ink,74
82,xbox,160
9,snob,44
99,auditor,216
73,offence,33
12,quality,134
33,quality,170
18,ink,180
33,doubt,179
19,lining,92
45,defendant,48
87,feedback,70
87,feedback,77
34,feedback,55
38,doubt,34
79,lining,155
24,doubt,181
95,defendant,24
1,auditor,67
87,offence,153
65,quaffle,53
9,bud,157
49,doubt,241
91,vegetable,236
10,jar,58
77,vinyl,214
72,offence,32
90,lining,56
62,vinyl,87
54,vinyl,58
24,van,182
42,linguist,83
37,maker,76
51,snob,124
59,xbox,239
77,maker,89
3,auditor,243
16,jar,35
44,linguist,53
41,doubt,73
53,vegetable,79
72,snob,161
61,auditor,164
24,doubt,182
64,ink,198
76,bud,212
92,vegetable,136
82,xbox,242
18,defendant,189
32,queue,152
61,maker,110
73,vegetable,168
51,ink,164
54,vinyl,248
85,paramedic,213
75,quality,107
49,lining,158
41,doubt,215
75,xbox,248
19,defendant,161
10,snob,213
78,quaffle,95
18,bud,204
38,quality,211
21,van,43
45,jar,241
96,queue,193
33,queue,230
69,feedback,174
100,maker,85
67,linguist,205
85,linguist,69
3,queue,118
45,paramedic,201
51,jar,63
84,ink,125
91,offence,105
44,quality,44
61,van,207
6,defendant,207
10,quality,48
1,defendant,63
28,linguist,217
25,vinyl,247
52,doubt,189
89,queue,94
23,queue,54
90,van,101
91,linguist,192
86,van,42
68,snob,176
62,snob,83
77,quaffle,193
77,xbox,218
90,snob,86
78,vegetable,49
89,quality,77
21,quality,129
39,auditor,218
40,vinyl,128
53,maker,115
18,vinyl,219
93,xbox,219
4,queue,23
36,ink,209
77,linguist,187
59,lining,164
15,defendant,212
92,jar,202
62,offence,204
41,offence,206
41,auditor,169
77,snob,204
5,paramedic,37
3,paramedic,145
95,linguist,58
31,xbox,33
7,vegetable,130
72,feedback,163
4,linguist,243
40,quaffle,142
73,feedback,226
82,feedback,244
25,feedback,118
45,doubt,82
28,vegetable,139
77,jar,125
15,ink,29
84,feedback,207
76,quality,241
70,vinyl,176
69,xbox,71
93,snob,95
33,bud,69
37,ink,99
61,jar,132
69,xbox,248
37,lining,129
40,queue,34
8,offence,210
8,maker,166
91,ink,231
46,auditor,213
37,quality,118
32,offence,130
57,auditor,95
20,quality,83
29,doubt,78
98,quality,47
100,paramedic,220
49,queue,115
5,maker,141
7,offence,32
27,quality,98
20,queue,31
61,lining,245
12,paramedic,97
53,vinyl,65
55,offence,206
53,linguist,36
14,xbox,58
89,bud,184
33,defendant,177
11,linguist,23
61,quaffle,195
91,queue,52
57,maker,42
27,paramedic,117
22,van,183
40,maker,74
31,jar,143
71,defendant,209
5,feedback,167
9,offence,22
1,xbox,87
51,vegetable,58
68,jar,175
32,defendant,36
89,van,32
75,auditor,210
44,vegetable,121
65,jar,245
48,feedback,184
6,feedback,107
89,offence,190
40,feedback,49
86,quality,210
45,linguist,132
23,bud,57
10,offence,212
53,vinyl,75
34,linguist,42
87,xbox,115
64,jar,118
69,lining,77
25,auditor,102
33,van,240
33,linguist,241
14,jar,76
7,ink,75
61,doubt,87
79,bud,239
34,quaffle,191
44,snob,125
64,linguist,165
87,queue,120
91,paramedic,62
76,xbox,91
43,ink,125
35,vinyl,228
43,bud,86
11,feedback,71
39,xbox,45
62,quaffle,128
41,quaffle,66
71,paramedic,160
48,quaffle,91
78,bud,166
72,snob,64
97,queue,24
42,ink,243
90,xbox,122
38,defendant,126
97,quality,79
4,paramedic,102
64,linguist,166
37,lining,156
67,offence,104
95,queue,29
27,jar,147
95,queue,67
57,lining,22
64,van,211
74,ink,62
39,bud,65
22,vinyl,89
95,feedback,204
14,vinyl,124
20,offence,46
51,defendant,179
70,xbox,49
34,defendant,200
88,jar,176
18,queue,98
45,snob,245
1,paramedic,29
25,quality,56
21,lining,174
92,linguist,107
41,queue,106
68,offence,102
57,quaffle,59
6,xbox,224
98,quality,100
33,vinyl,56
16,xbox,69
69,defendant,234
82,ink,117
50,vegetable,205
46,snob,200
19,paramedic,73
5,ink,40
78,doubt,121
2,linguist,98
75,queue,170
64,feedback,40
89,queue,200
68,doubt,88
4,paramedic,192
94,maker,60
1,quaffle,46
41,snob,206
65,defendant,83
71,offence,142
26,xbox,62
73,paramedic,63
3,offence,27
87,feedback,168
