user_id,page_visited,previous_page,time_spent
11,inwardness,xbox,187
4,fourths,vault,205
30,jackal,excitement,50
40,inwardness,excitement,38
49,fourths,xbox,226
67,vault,rights,229
94,kidney,broth,173
80,vignette,windchime,75
61,charset,vault,142
56,quartos,inwardness,119
85,windchime,jackal,206
69,jackal,iso,234
56,kidney,vault,224
53,excitement,charset,110
93,kidney,gatehouse,37
61,kielbasa,octave,94
66,vignette,kohlrabi,227
73,hnd,xbox,129
95,quartos,iso,246
4,gatehouse,inwardness,194
75,jackal,kielbasa,152
97,broth,fourths,68
64,iso,jackal,115
51,excitement,charset,139
17,kidney,windchime,152
58,rights,broth,178
25,quartos,excitement,92
66,kohlrabi,rights,44
5,windchime,hnd,167
9,broth,vault,248
90,hnd,vignette,84
6,kielbasa,vault,23
5,excitement,kielbasa,150
31,octave,excitement,163
62,canister,xbox,89
97,iso,vault,187
90,kohlrabi,inwardness,67
1,broth,xbox,106
52,broth,kohlrabi,218
92,broth,vignette,63
67,vault,excitement,78
31,iso,kielbasa,103
68,vault,inwardness,23
15,broth,kielbasa,153
97,xbox,charset,201
92,quartos,canister,173
99,windchime,kohlrabi,79
74,inwardness,windchime,32
90,octave,vault,29
30,jackal,fourths,39
80,kohlrabi,gatehouse,41
52,iso,kidney,120
46,iso,inwardness,120
8,octave,gatehouse,234
41,fourths,vault,170
53,quartos,kidney,243
34,iso,vignette,179
88,gatehouse,kohlrabi,97
23,excitement,kohlrabi,234
69,iso,kohlrabi,203
87,rights,kohlrabi,147
24,vault,inwardness,186
42,hnd,rights,223
37,kielbasa,canister,185
22,charset,kielbasa,101
17,kielbasa,vignette,48
77,jackal,octave,200
38,broth,hnd,107
57,rights,canister,185
42,windchime,quartos,245
23,charset,kidney,120
76,hnd,quartos,81
43,rights,octave,111
80,jackal,xbox,201
39,inwardness,jackal,113
59,iso,gatehouse,41
63,vault,quartos,125
20,windchime,quartos,157
78,broth,iso,150
56,windchime,kohlrabi,224
75,vignette,kidney,127
79,kidney,kielbasa,150
56,vault,kidney,101
99,xbox,hnd,233
38,canister,kielbasa,44
20,canister,excitement,146
94,kidney,charset,244
78,windchime,kielbasa,242
37,kidney,fourths,121
52,xbox,kohlrabi,199
96,windchime,gatehouse,229
84,inwardness,kohlrabi,74
36,windchime,canister,193
79,inwardness,kohlrabi,203
7,vignette,excitement,212
99,windchime,kohlrabi,244
10,windchime,vault,114
88,quartos,fourths,155
67,charset,vignette,172
99,hnd,broth,51
35,octave,charset,130
93,vault,broth,193
15,gatehouse,kidney,42
63,iso,octave,236
78,jackal,windchime,214
5,iso,charset,114
8,inwardness,charset,166
24,xbox,inwardness,80
41,jackal,charset,97
23,charset,iso,136
3,kielbasa,vault,81
44,windchime,fourths,248
75,excitement,hnd,169
90,hnd,jackal,182
67,inwardness,kielbasa,181
7,jackal,inwardness,227
81,iso,canister,159
81,quartos,kidney,156
25,excitement,kielbasa,181
3,vignette,excitement,73
75,kohlrabi,excitement,66
71,canister,quartos,116
93,excitement,hnd,227
