user_id,page_visited,time_spent
534,infusion,166
388,flask,245
586,discomfiture,194
144,synch,116
785,littleneck,29
468,jute,32
800,grimness,43
19,oyster,117
919,defense,158
466,ostrich,123
528,defense,88
607,inspector,93
919,radar,94
20,greatness,128
9,admire,151
371,factotum,178
143,question,243
705,neologism,138
834,evening-wear,55
436,defense,120
310,tremor,128
47,lyre,108
672,outsider,93
763,jingle,127
34,brat,131
837,romaine,218
340,xbox,143
509,radar,39
586,x-ray,43
130,admire,117
738,lyre,175
256,proliferation,146
700,north america,164
147,flask,243
138,xbox,58
491,xylophone,241
255,git,70
840,zero,169
66,citral,123
710,yin,42
273,good-bye,92
735,maker,54
896,vermicelli,210
829,deterioration,164
890,tradition,109
759,armenian,118
60,producer,194
112,tremor,23
166,gateway,140
621,idol,95
971,incircle,150
45,workforce,90
437,knickers,53
17,zealot,158
356,planet,212
251,zealot,28
902,nerve,89
8,pass,157
541,zucchini,66
416,festivity,184
22,festivity,41
730,infusion,166
630,ultimatum,36
18,essence,69
685,jingle,200
53,llama,189
244,left,104
481,visual,237
744,radar,126
144,junket,184
278,urinal,136
3,urinal,77
543,left,46
184,gazelle,177
123,authorisation,40
461,aquarist,125
207,fat,144
772,quarto,143
737,xbox,141
120,guacamole,247
448,poncho,39
348,armenian,90
78,roadshow,142
216,vista,85
695,interior,125
373,symphony,166
929,workpaper,238
477,admire,158
604,lunch,124
518,quest,113
337,lust,211
166,yin,144
541,nonbondad,168
685,xbox,215
396,emptiness,187
632,northwest,181
584,stab,161
473,ketchup,45
425,memo,62
346,railroad,168
619,pillowcase,59
169,kiosk,155
733,lunch,243
722,volume,52
222,discomfiture,20
547,uzbekistan,188
744,diagram,72
720,german,130
855,relaxation,165
405,xbox,235
952,kitten,35
706,essence,79
604,traveler,172
941,ultimatum,22
68,hacksaw,85
798,income,39
740,uzbekistan,34
188,jug,94
730,grandparent,126
466,hand,222
861,jingle,224
310,aspic,60
288,ultimatum,202
390,honeydew,142
678,xbox,206
51,zookeeper,76
293,knickers,44
615,quest,222
413,likelihood,161
664,improvement,93
72,extract,107
917,kenneth,60
825,formatting,190
309,grinder,226
71,genius,52
933,workforce,151
432,armenian,221
432,jimmy,225
136,pan,180
670,numeracy,112
569,roadshow,77
55,freeze,154
570,yang,129
791,job,239
931,refrigerator,68
313,emptiness,177
956,symphony,51
678,textbook,162
451,left,219
805,query,109
372,hawk,112
218,grimness,239
720,tradition,93
817,crackpot,194
673,vulnerability,42
305,vermicelli,106
666,idol,192
203,emails,142
648,lack,227
537,kido,237
573,xylophone,99
1,x-ray,51
266,roadshow,196
506,dietician,172
825,job,173
140,flask,26
795,organising,120
521,emptiness,201
381,hello,74
256,good-bye,231
218,reporter,75
102,thirst,244
486,prostacyclin,162
116,outsize,237
999,misadventure,187
542,xbox,137
108,proceeding,196
816,flask,183
623,zoologist,173
17,congratulation,67
933,thirst,220
665,mailing,120
514,memo,147
52,appellation,23
726,guitar,211
542,gnu,215
548,urine,133
942,kimberly,25
248,jingle,145
477,fight,78
918,graft,123
710,git,91
256,afterlife,51
621,inequality,61
774,formatting,46
194,independence,217
124,reporter,33
597,fertilizer,177
977,xylophone,43
433,skydiver,240
364,workpaper,166
66,jimmy,145
327,soda,171
64,but,195
254,windmill,23
148,gall-bladder,163
302,interior,161
552,hope,168
664,xylophone,36
121,littleneck,58
517,zoologist,195
478,neologism,49
385,lust,201
887,versaille,152
553,proliferation,146
432,emptiness,231
807,semantics,128
293,tambour,93
859,kiosk,57
142,jingle,25
681,membrane,215
50,breakfast,234
391,traveler,207
253,romaine,161
797,german,86
187,rep,38
868,thumbnail,53
4,incitement,213
562,festivity,58
320,impostor,106
314,quartz,208
898,congratulation,50
230,freeze,214
535,vermicelli,206
750,tremor,70
853,git,244
792,expansion,45
222,interior,108
312,step-grandfather,48
772,responsibility,242
622,fat,180
452,jason,124
117,crackpot,82
517,lack,139
399,zebrafish,159
208,littleneck,151
452,tune-up,109
607,misadventure,80
554,north america,216
711,xylophone,224
435,planet,131
24,quest,140
548,gnu,215
169,hello,116
354,zebrafish,122
142,ravelin,96
436,volume,64
644,jam,107
974,vomiting,91
841,kido,197
185,zookeeper,64
774,honeydew,147
886,brat,180
22,discomfiture,159
82,yolk,195
486,x-ray,173
8,sandbar,124
485,millimeter,78
644,kitten,75
395,reinscription,217
332,zebra,80
747,workforce,52
671,admire,81
522,tram,126
287,kimberly,115
911,yin,47
720,uzbekistan,73
859,zebrafish,119
672,prostacyclin,39
432,discomfiture,104
463,proliferation,217
612,sandbar,71
518,vomiting,222
277,graft,158
706,yin,139
683,pillowcase,154
743,refrigerator,245
738,executive,167
134,xbox,246
983,gazelle,40
833,infusion,129
72,armenian,67
844,relabelling,237
239,opportunist,70
916,greatness,68
717,neologism,199
393,warming,205
184,education,180
93,fat,144
687,workpaper,170
91,roadshow,196
698,connectedness,160
899,refrigerator,148
548,aspic,191
810,zipline,212
763,jute,151
740,jingle,88
340,yoke,48
412,connectedness,21
153,step-grandfather,22
408,proceeding,106
12,kiosk,159
103,xylophone,185
163,proceeding,35
52,good-bye,123
36,kendo,118
210,tram,42
736,raffle,42
607,improvement,73
17,railroad,23
515,thirst,132
533,outsize,127
511,vulnerability,185
762,knickers,110
57,gall-bladder,42
394,xylophone,72
772,taxis,218
822,authorisation,95
2,essence,88
157,hype,88
691,veteran,143
779,admire,207
557,little,60
964,lust,46
836,xbox,225
600,misadventure,231
520,memo,117
910,north america,79
684,whereabouts,184
619,sandbar,39
98,harvester,45
65,formatting,90
225,lust,132
283,thirst,148
169,registry,111
765,xylophone,204
444,xylophone,73
526,opinon,240
204,zookeeper,202
887,expansion,47
809,cumin,203
154,aspic,144
386,proliferation,225
837,maker,87
856,xbox,86
903,sandbar,55
16,littleneck,141
143,admire,56
135,jute,182
210,job,230
285,earring,109
835,traveler,77
781,oppression,63
907,junket,29
313,citral,222
464,x-ray,204
959,guitar,99
922,reinscription,77
65,junket,138
1000,xbox,107
820,xylophone,210
902,economics,22
990,stab,119
397,signatory,202
347,yin,107
230,veteran,223
92,llama,219
16,knife,65
592,textbook,176
455,admire,130
439,inspector,203
222,aquarist,86
345,workforce,79
510,relaxation,152
995,hurry,223
236,taxis,97
913,father-in-law,206
630,incircle,51
629,kenneth,97
510,littleneck,181
982,vermicelli,64
805,zucchini,194
105,kindness,47
273,citral,225
652,warming,20
791,nectarine,54
893,kenneth,133
840,opportunist,116
950,fertilizer,21
920,relationship,26
68,responsibility,68
626,defense,81
683,genius,142
661,factotum,127
747,tallith,36
361,radar,120
486,graft,81
754,yin,207
614,improvement,158
307,incarceration,23
835,outsider,24
540,kick,93
579,zither,169
901,father-in-law,185
776,littleneck,194
744,reporter,215
341,emails,86
490,normalisation,246
216,rep,181
129,reinscription,33
209,urination,57
791,benedict,63
33,hornet,158
805,income,22
844,formatting,131
424,emails,92
191,connectedness,69
176,xylophone,22
2,yin,170
507,urinal,203
646,graft,110
918,innocence,214
687,underwire,212
