user_id,page_visited,previous_page,time_spent
729,begonia,gaffer,113
208,redirect,zodiac,150
342,thatch,finalist,226
188,tin,yoyo,234
824,grease,mug,221
141,backdrop,dramatist,107
166,chance,collaborator,196
823,pinecone,yoga,154
523,quadtree,activist,91
900,module,assistance,40
434,yourself,digital,54
635,educator,weedkiller,43
563,yarmulke,distillery,244
88,quilt,quest,198
445,pivottable,x-ray,72
209,uneasiness,lube,22
523,lyrics,baggy,87
165,norm,knot,61
74,incitement,shirt,63
972,initiative,activist,127
471,notification,zeitgeist,21
508,veal,harpooner,134
522,wick,fives,201
596,yard,quadrant,202
242,keeper,berthage,64
231,suburb,sub,107
870,redirect,ketchup,105
299,regularity,income,244
118,hostility,noodles,38
81,numero,xbox,148
219,oval,ecodesign,21
326,ingredient,ecodesign,183
474,japan,villain,94
300,listlessness,well-off,49
297,offworlders,overhead,247
365,xylophone,wick,64
433,zombie,yoga,82
656,jeff,powerhead,112
442,wriggle,yoga,181
865,apex,bakery,107
33,allergist,distribution,204
285,yam,jazz,74
980,idol,granola,46
811,zeitgeist,killie,212
356,regularity,minicab,99
827,jersey,decongestant,73
857,writing,japan,59
890,begonia,cure,22
729,insulation,icc,136
380,quotation,movie,84
746,relationship,weedkiller,78
216,coral,make-up,195
491,hostility,market,114
919,killie,repercussion,160
918,yacht,zombie,221
301,routine,procedure,138
560,module,resolve,60
262,jazz,zeitgeist,243
191,distance,resolve,152
145,numismatist,youth,100
362,regularity,underwear,223
336,xbox,tin,168
685,popularity,refugee,137
686,mystery,collaborator,144
66,lyrics,grease,28
103,unshielded,farrier,245
55,guestbook,menopause,59
987,jockey,estimation,96
942,knot,mid-october,26
810,temptation,japanese,147
728,miss,overhead,125
824,horror,mid-air,91
665,needlework,yoga,230
730,keeper,virtue,76
999,overhead,merchant,170
351,nigeria,wrapping,113
50,employer,bakery,21
648,xbox,yelling,223
309,cardigan,estimation,75
17,collaborator,yolk,202
931,hothead,xylophone,27
253,resolution,x-ray,70
450,hemisphere,numero,242
252,adviser,baggy,108
563,thanks,oven,29
528,inter-animation,make-up,107
519,backcloth,refugee,228
987,idol,youth,110
539,begonia,stardom,100
530,quadrant,judgment,68
684,refugee,doer,47
373,driveway,wriggle,88
436,fridge,numismatist,48
172,enchiladas,hangar,73
107,keeper,projection,137
498,balance,cardigan,199
229,berthage,merchant,44
814,yolk,finalist,34
258,hostility,kimberwick,152
709,bees,writing,185
649,bride,yarmulke,42
929,quietness,jeff,99
859,mid-air,mug,151
68,granola,quadrant,126
726,libido,transition,193
181,usher,yoga,105
447,thanks,zoologist,138
233,oven,viscose,112
318,yourself,guestbook,217
698,writer,listlessness,150
21,festivity,ecodesign,69
684,quietness,choker,154
257,resolution,villain,95
538,youngster,mid-air,33
503,zebrafish,bun,137
701,quilt,x-ray,26
263,initiative,zoologist,80
941,human,wick,83
380,apex,longboat,199
213,hatchling,begonia,226
570,kimberwick,x-ray,140
258,driveway,jazz,93
510,yield,employer,140
540,xbox,karma,70
